Rank,Phrase,Frequency,Type
1,the,1590746,word
2,of,969243,word
3,and,958557,word
4,to,628883,word
5,in,482217,word
6,for,274669,word
7,a,244433,word
8,on,221261,word
9,that,196865,word
10,as,147422,word
11,with,137602,word
12,.,137258,word
13,is,125145,word
14,by,124918,word
15,be,120625,word
16,this,76951,word
17,at,76891,word
18,are,74177,word
19,its,72402,word
20,international,71872,word
21,we,70782,word
22,united,70175,word
23,or,67121,word
24,development,64470,word
25,from,61682,word
26,all,60356,word
27,i,59040,word
28,an,58180,word
29,it,56304,word
30,which,55132,word
31,their,53533,word
32,nations,53219,word
33,1,52697,word
34,including,50845,word
35,have,49920,word
36,states,48456,word
37,other,46705,word
38,also,46013,word
39,not,44544,word
40,was,44465,word
41,will,41812,word
42,countries,41227,word
43,support,40852,word
44,has,40344,word
45,human,40016,word
46,-,36445,word
47,implementation,36180,word
48,sustainable,35426,word
49,2,33778,word
50,general,32973,word
51,–,32085,word
52,national,31834,word
53,work,30969,word
54,should,30250,word
55,been,29923,word
56,such,29902,word
57,would,29238,word
58,under,28944,word
59,new,28938,word
60,use,28752,word
61,through,28489,word
62,rights,27637,word
63,global,27446,word
64,weapons,26740,word
65,information,26583,word
66,security,26498,word
67,committee,26105,word
68,shall,25992,word
69,economic,25752,word
70,programme,24899,word
71,were,24676,word
72,developing,24499,word
73,group,24120,word
74,these,23876,word
75,financial,23706,word
76,trade,23231,word
77,more,22954,word
78,well,22669,word
79,our,22438,word
80,developed,22201,word
81,e,22042,word
82,t,21804,word
83,had,21736,word
84,3,21556,word
85,report,21510,word
86,per,21498,word
87,paragraph,21141,word
88,system,21115,word
89,can,20793,word
90,regional,20662,word
91,may,20575,word
92,related,20468,word
93,they,20153,word
94,member,20021,word
95,s,19984,word
96,into,19448,word
97,ensure,19376,word
98,need,19188,word
99,social,19162,word
100,those,19018,word
101,services,18988,word
102,parties,18896,word
103,least,18861,word
104,relevant,18859,word
105,activities,18741,word
106,resolution,18680,word
107,5,18593,word
108,further,18530,word
109,office,18524,word
110,data,18375,word
111,one,18331,word
112,technology,17999,word
113,management,17942,word
114,between,17724,word
115,4,17708,word
116,nuclear,17651,word
117,action,17506,word
118,total,17473,word
119,any,17087,word
120,no,16850,word
121,policy,16844,word
122,assembly,16753,word
123,•,16576,word
124,n,16548,word
125,there,16490,word
126,cooperation,16457,word
127,efforts,16425,word
128,special,16366,word
129,review,16254,word
130,during,16164,word
131,technical,15787,word
132,systems,15776,word
133,digital,15744,word
134,c,15728,word
135,within,15678,word
136,access,15578,word
137,convention,15565,word
138,but,15532,word
139,council,15504,word
140,resources,15466,word
141,against,15351,word
142,conference,15218,word
143,o,15142,word
144,agenda,15138,word
145,assistance,15052,word
146,continue,15034,word
147,nam,14900,word
148,measures,14892,word
149,made,14615,word
150,world,14591,word
151,provide,14543,word
152,law,14443,word
153,if,14172,word
154,cent,14067,word
155,mr.,14048,word
156,staff,14028,word
157,humanitarian,13997,word
158,so,13970,word
159,effective,13808,word
160,working,13804,word
161,must,13777,word
162,d,13764,word
163,public,13694,word
164,r,13363,word
165,number,13313,word
166,order,13233,word
167,risk,13121,word
168,than,12983,word
169,some,12871,word
170,health,12859,word
171,"countries,",12747,word
172,progress,12646,word
173,6,12578,word
174,important,12513,word
175,project,12370,word
176,unctad,12346,word
177,control,12291,word
178,state,12255,word
179,out,12247,word
180,only,12066,word
181,particular,12002,word
182,legal,11964,word
183,over,11940,word
184,used,11888,word
185,challenges,11855,word
186,you,11758,word
187,full,11750,word
188,framework,11746,word
189,autonomous,11715,word
190,women,11711,word
191,could,11679,word
192,technologies,11653,word
193,=,11543,word
194,country,11494,word
195,high,11487,word
196,importance,11447,word
197,training,11361,word
198,capacity,11156,word
199,about,11148,word
200,thank,11139,word
201,while,11115,word
202,provided,11065,word
203,"development,",11051,word
204,right,11047,word
205,december,11033,word
206,two,11024,word
207,first,11002,word
208,issues,10956,word
209,board,10934,word
210,meeting,10762,word
211,time,10732,word
212,role,10721,word
213,0,10713,word
214,m,10702,word
215,8,10688,word
216,(a),10632,word
217,session,10621,word
218,address,10615,word
219,investment,10573,word
220,(b),10557,word
221,7,10555,word
222,service,10553,word
223,take,10483,word
